last_name,cited_name,classification,title,full_name,creation_date,nationality,index
Center,Center for Building Performance & Diagnostics,drawings and watercolors,"Research Center; The Intelligent Workplace, Pittsburgh, PA; [axonometric drawing]",Center for Building Performance & Diagnostics,1994,American,6638
Center,Center for Building Performance & Diagnostics,drawings and watercolors,"Research Center; The Intelligent Workplace, Pittsburgh, PA; [floor plan]",Center for Building Performance & Diagnostics,1994,American,6639
Center,Center for Building Performance & Diagnostics,drawings and watercolors,"Research Center; The Intelligent Workplace, Pittsburgh, PA; [perspective]",Center for Building Performance & Diagnostics,1994,American,6640
Center,Center for Building Performance & Diagnostics,drawings and watercolors,"Research Center; The Intelligent Workplace, Pittsburgh, PA; [exterior perspective]",Center for Building Performance & Diagnostics,1994,American,6641
Center,Center for Building Performance & Diagnostics,drawings and watercolors,"Research Center; The Intelligent Workplace, Pittsburgh, PA; [axonometric drawing]",Center for Building Performance & Diagnostics,1994,American,6642
Bochner,"Bochner, Mel",sculpture,Measurement: Plant (Palm),Mel Bochner,1969,American,6643
Rinehart,"Rinehart, William H.",sculpture,Evening,William Henry Rinehart,1856-1870,American,6710
Graves,"Graves, Michael",drawings and watercolors,"Research Building; ""Industrial Landscape,"" for the Industrial Landscape Mural, Environmental Education Center, Liberty State Park, Jersey City, New Jersey; [sketch]",Michael Graves,1985,American,6712
Graves,"Graves, Michael",drawings and watercolors,"Research Building; ""Industrial Landscape,"" for the Industrial Landscape Mural, Environmental Education Center, Liberty State Park, Jersey City, New Jersey; [sketch]",Michael Graves,1985,American,6713
Herzog,"Herzog, Jacques",drawings and watercolors,"House for an Art Collector, Therwill",Jacques Herzog,1985,Swiss,6714
Herzog,"Herzog, Jacques",drawings and watercolors,"House for an Art Collector, Therwill",Jacques Herzog,1985,Swiss,6715
Herzog,"Herzog, Jacques",drawings and watercolors,"House for an Art Collector, Therwill",Jacques Herzog,1985,Swiss,6716
Herzog,"Herzog, Jacques",drawings and watercolors,"House for an Art Collector, Therwill",Jacques Herzog,1985,Swiss,6717
Herzog,"Herzog, Jacques",drawings and watercolors,"House; House for an Art Collector, Therwill, Switzerland; [sketch]",Jacques Herzog,1985,Swiss,6718
Herzog,"Herzog, Jacques",drawings and watercolors,"House; House for an Art Collector; Therwill, Switzerland; [sketch]",Jacques Herzog,1985,Swiss,6719
Herzog,"Herzog, Jacques",drawings and watercolors,"House; House for an Art Collector, Therwill, Switzerland; [sketch]",Jacques Herzog,1985,Swiss,6720
Nouvel,"Nouvel, Jean",drawings and watercolors,"Office Building; Competition Entry, Berlin Centre of Frankfurter Allgemeine Zeitung",Jean Nouvel,1990,French,6721
Gober,"Gober, Robert",prints,Untitled,Robert Gober,1991,American,6724
Morrill,"Morrill, Michael",paintings,Divided Square No. 48,Michael Morrill,,American,6725
Wool,"Wool, Christopher",prints,Untitled,Christopher Wool,1991,American,6726
Wool,"Wool, Christopher",prints,Untitled,Christopher Wool,1991,American,6727
Wool,"Wool, Christopher",prints,Untitled,Christopher Wool,1991,American,6728
Wool,"Wool, Christopher",prints,Untitled,Christopher Wool,1991,American,6729
Wool,"Wool, Christopher",prints,Untitled,Christopher Wool,1991,American,6730
Wool,"Wool, Christopher",prints,Untitled,Christopher Wool,1991,American,6731
Wool,"Wool, Christopher",prints,Untitled,Christopher Wool,1991,American,6732
Wool,"Wool, Christopher",prints,Untitled,Christopher Wool,1991,American,6733
Wool,"Wool, Christopher",prints,Untitled,Christopher Wool,1991,American,6734
Wool,"Wool, Christopher",prints,Untitled,Christopher Wool,1991,American,6735
Wool,"Wool, Christopher",prints,Untitled,Christopher Wool,1991,American,6736
Jensen,"Jensen, Bill",drawings and watercolors,Drawing for Green + White Painting,Bill Jensen,1975,American,6737
Zapkus,"Zapkus, Kes",drawings and watercolors,No. 10 Study in a Pastoral Manner,Kes Zapkus,1977-1978,American,6739
Sanctis,"Sanctis, Guglielmo de",paintings,Mrs. Cleveland,Guglielmo de Sanctis,1868,Italian,6744
Street,"Street, Robert",paintings,Caroline Luise Kaercher with Cat,Robert Street,1830,American,6746
Bouguereau,"Bouguereau, Adolphe-William",paintings,Hay-Maker [Faneuse],Adolphe-William Bouguereau,1869,French,6747
Frelinghuysen,"Frelinghuysen, Suzy",paintings,Composition,Suzy Frelinghuysen,1939,American,6750
Smith,"Smith, David",prints,Untitled (Family),David Smith,1954,American,6751
Smith,"Smith, David",prints,Untitled (Family),David Smith,1954,American,6752
Baselitz,"Baselitz, Georg",paintings,Bildachtundzwanzig,Georg Baselitz,1994,German,6753
Cassandre,"Cassandre, A.",prints,Normandie,A. Cassandre,1935,French,6764
Luks,"Luks, George",drawings and watercolors,"Garden of the Tuileries, Paris",George Luks,1902,American,6765
Lissitzky,"Lissitzky, El",prints,Ansager (Radio Announcer),El Lissitzky,1923,Russian,6766
Goltzius,"Goltzius, Hendrick",prints,Apollo,Hendrick Goltzius,1588,Dutch,6767
Schnabel,"Schnabel, Julian",paintings,Sir Herbert Read,Julian Schnabel,1983,American,6774
Katz,"Katz, Alex",paintings,Ive's Field No. 1,Alex Katz,1953,American,6775
Fishman,"Fishman, Louise",paintings,Mars,Louise Fishman,1992,American,6778
Saul,"Saul, Peter",prints,Dupartmint of Justiss,Peter Saul,1972,American,6781
Smith,"Smith, Tony",sculpture,Light Up Maquette,Tony Smith,c. 1972,American,6782
Walkowitz,"Walkowitz, Abraham",drawings and watercolors,Abstraction,Abraham Walkowitz,1932,American,6783
Miller,"Miller, Kenneth H.",prints,Saleswoman,Kenneth Hayes Miller,1930,American,6784
Gordin,"Gordin, Sidney",drawings and watercolors,Untitled,Sidney Gordin,1942-1943,American,6785
Speyer,"Speyer, A. J.",drawings and watercolors,House for Irving and Aaronel de Roy Gruber,A. James Speyer,1953,American,6787
Wagner,"Wagner, Bernard",drawings and watercolors,Service Station; Service Station for Gulf Oil Company; [exterior perspective],Bernard Wagner,1945,American,6789
Lefkowitz,"Lefkowitz, Harry H.",drawings and watercolors,"Proposed Land Use for Parcel B, Urban Redevelopment Authority, Lower Hill Redevelopment, Pittsburgh, PA",Harry H. Lefkowitz,1963,American,6790
Lefkowitz,"Lefkowitz, Harry H.",drawings and watercolors,"Proposed Land Use for Parcel B, Urban Redevelopment Authority, Lower Hill Redevelopment, Pittsburgh, PA",Harry H. Lefkowitz,1963,American,6791
Lefkowitz,"Lefkowitz, Harry H.",drawings and watercolors,"Sketch, Hotel Webster Hall Addition",Harry H. Lefkowitz,c. 1960,American,6792
Lefkowitz,"Lefkowitz, Harry H.",drawings and watercolors,51 Unit Apartment,Harry H. Lefkowitz,c. 1960,American,6793
Lefkowitz,"Lefkowitz, Harry H.",drawings and watercolors,"Lerner Shops Office and Warehouse, O'Hara Township, PA",Harry H. Lefkowitz,c. 1960,American,6794
Lefkowitz,"Lefkowitz, Harry H.",drawings and watercolors,"Green Oaks Country Club, Verona, PA",Harry H. Lefkowitz,1958,American,6795
Lefkowitz,"Lefkowitz, Harry H.",drawings and watercolors,"Green Oaks Country Club, Verona, PA",Harry H. Lefkowitz,1958,American,6796
Lefkowitz,"Lefkowitz, Harry H.",drawings and watercolors,"Green Oaks Country Club, Verona, PA",Harry H. Lefkowitz,1958,American,6797
Lefkowitz,"Lefkowitz, Harry H.",drawings and watercolors,A Country Club,Harry H. Lefkowitz,c. 1960,American,6798
Lefkowitz,"Lefkowitz, Harry H.",drawings and watercolors,A Country Club,Harry H. Lefkowitz,c. 1960,American,6799
Lefkowitz,"Lefkowitz, Harry H.",drawings and watercolors,A Country Club,Harry H. Lefkowitz,c. 1960,American,6800
Lefkowitz,"Lefkowitz, Harry H.",drawings and watercolors,"Mellon National Bank and Trust Co., Squirrel Hill Branch, Pittsburgh, PA",Harry H. Lefkowitz,1964,American,6801
Lefkowitz,"Lefkowitz, Harry H.",drawings and watercolors,"Temple Sinai, Pittsburgh, PA",Harry H. Lefkowitz,1956-1957,American,6802
MacDonald,"MacDonald, Chris",sculpture,Sphinx II,Chris MacDonald,1989,American,6805
MacDonald,"MacDonald, Chris",sculpture,Untitled III,Chris MacDonald,1984,American,6807
Tan'yu,Tan'yu Kano,drawings and watercolors,Japanese scroll,Tan'yu Kano,,Japanese,6811
Ault,"Ault, George",paintings,Interior,George Copeland  Ault,1931,American,6889
Seigle,"Seigle, Herbert",drawings and watercolors,"Mr. and Mrs. Edward Haskell Residence, Pittsburgh: entrance view",Herbert Seigle,1955,American,6890
Seigle,"Seigle, Herbert",drawings and watercolors,"Mr. and Mrs. Edward Haskell Residence, Pittsburgh: front view",Herbert Seigle,1955,American,6891
Seigle,"Seigle, Herbert",drawings and watercolors,"Mr. and Mrs. Edward Haskell Residence, Pittsburgh: entrance court",Herbert Seigle,1955,American,6892
Seigle,"Seigle, Herbert",drawings and watercolors,"Mr. and Mrs. Edward Haskell Residence, Pittsburgh: loggia",Herbert Seigle,1955,American,6893
Calder,"Calder, Alexander",prints,Lunar View,Alexander Calder,1961,American,6895
Crawford,"Crawford, Ralston",prints,Overseas Highway,Ralston Crawford,1940,American,6896
Picasso,"Picasso, Pablo",prints,"Trois Nus Debout a Droite, Esquisses de Tetes, from Le Chef d'oeuvre Inconnu",Pablo Picasso,1927,Spanish,6897
Freeman,"Freeman, Don",drawings and watercolors,The Peddler,Don Freeman,c. 1930,American,6898
Pether,"Pether, William",prints,A Philosopher Giving a Lecture on the Orrery,William Pether,1768,English,6912
Tuymans,"Tuymans, Luc",paintings,Pillows,Luc Tuymans,1994,Belgian,6919
Denari,"Denari, Neil",drawings and watercolors,Prototype School of Architecture; [roof plan and elevation],Neil Denari,1992,American,6920
Ries,"Ries, Christopher",sculpture,1991 Pennsylvania Governor's Award for Excellence in the Humanities,Christopher Ries,1991,American,6926
Hetzel,"Hetzel, Lila B.",drawings and watercolors,"Julia Catherine de Haven Mowrey, Style of the 1890's",Lila B. Hetzel,1896,American,7010
Hetzel,"Hetzel, Lila B.",drawings and watercolors,"Corner in Antique Room, Pittsburgh School of Design",Lila B. Hetzel,c. 1895,American,7011
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Mabel Logan in Costume,Lila B. Hetzel,c. 1895,American,7012
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Mary Donavan,Lila B. Hetzel,1897,American,7013
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Miss Evans (Mrs. Reese),Lila B. Hetzel,1895,American,7014
Hetzel,"Hetzel, Lila B.",drawings and watercolors,"Alice Barnett, Mrs.",Lila B. Hetzel,c. 1895,American,7015
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Possibly Anna Bell Croug,Lila B. Hetzel,c. 1895,American,7016
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Florence Speer in Costume,Lila B. Hetzel,1896,American,7017
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Hattie Johnson,Lila B. Hetzel,1896,American,7018
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Style of the 1890's Anna McKee (one time secretary under Mrs. Scully),Lila B. Hetzel,1896,American,7019
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Woman Holding Umbrella,Lila B. Hetzel,c. 1895,American,7020
Hetzel,"Hetzel, Lila B.",drawings and watercolors,"Arianna Riddle-Moore, Mrs. Dr. Curry (first husband Moore)",Lila B. Hetzel,c. 1895,American,7021
Hetzel,"Hetzel, Lila B.",drawings and watercolors,"Florida Pier, Mrs. Scott Warnell of Scotland",Lila B. Hetzel,1897,American,7022
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Lonnie Waller Fortesque in Costume,Lila B. Hetzel,1898,American,7023
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Muriel McConnell (Mrs. Maroney),Lila B. Hetzel,1896,American,7024
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Woman Leaning on Pedestal,Lila B. Hetzel,1896,American,7025
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Profile of Woman with Eyes Closed,Lila B. Hetzel,c. 1895,American,7026
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Fran Agnew and Alice Craft-Bailey-Hardy,Lila B. Hetzel,1895,American,7027
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Woman with Hat Sitting on Chair,Lila B. Hetzel,c. 1895,American,7028
Hetzel,"Hetzel, Lila B.",drawings and watercolors,"Door in Cast Room, Pittsburgh School of Design",Lila B. Hetzel,c. 1895,American,7029
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Lottie Anderson-Boyle in Costume,Lila B. Hetzel,1897,American,7030
